estacion,fecha,umbral,conteo
18,07-10-2019,AMARILLO,11
47,02-10-2019,NARANJA,8
28,01-10-2021,ROJO,8
62,01-03-2022,ROJO,7
32,03-03-2022,ROJO,7
61,02-10-2019,AMARILLO,7
33,04-10-2019,NARANJA,7
5,09-11-2021,ROJO,6
62,04-03-2021,ROJO,6
16,04-10-2019,NARANJA,6
28,24-09-2021,ROJO,6
37,10-11-2021,ROJO,6
15,02-11-2021,NARANJA,6
45,01-11-2021,AMARILLO,5
58,07-06-2022,ROJO,5
32,10-05-2022,ROJO,5
47,25-03-2022,AMARILLO,4
32,11-02-2022,ROJO,4
58,12-06-2022,ROJO,4
49,05-03-2022,AMARILLO,4
7,03-01-2022,ROJO,4
10,24-11-2021,NARANJA,4
25,02-10-2019,AMARILLO,4
65,02-11-2021,NARANJA,4
37,01-10-2021,ROJO,4
25,04-11-2021,AMARILLO,4
58,09-06-2022,ROJO,4
7,25-03-2022,NARANJA,4
25,18-11-2020,ROJO,4
40,15-12-2021,ROJO,4
14,06-11-2021,NARANJA,4
18,25-03-2022,NARANJA,4
73,08-11-2021,AMARILLO,4
38,02-11-2021,NARANJA,4
30,05-03-2022,AMARILLO,4
68,20-08-2021,ROJO,4
1,19-05-2022,ROJO,4
45,29-08-2022,ROJO,4
16,05-07-2022,AMARILLO,4
36,01-09-2021,ROJO,4
40,24-09-2021,NARANJA,4
32,02-03-2022,ROJO,4
10,18-02-2022,ROJO,3
36,28-07-2022,AMARILLO,3
61,30-06-2020,NARANJA,3
69,26-11-2021,ROJO,3
34,26-09-2020,ROJO,3
25,14-08-2022,ROJO,3
36,28-09-2022,ROJO,3
75,09-01-2022,ROJO,3
62,14-05-2022,NARANJA,3
78,10-11-2021,ROJO,3
10,12-07-2021,ROJO,3
10,19-07-2021,ROJO,3
37,18-10-2021,ROJO,3
63,28-10-2021,ROJO,3
34,25-06-2022,ROJO,3
7,07-01-2022,ROJO,3
25,03-05-2020,ROJO,3
40,30-10-2021,ROJO,3
5,24-02-2020,ROJO,3
10,20-12-2019,ROJO,3
34,24-06-2022,ROJO,3
18,29-10-2019,ROJO,3
34,09-01-2022,ROJO,3
17,14-01-2021,ROJO,3
77,08-02-2022,ROJO,3
25,03-04-2022,AMARILLO,3
25,02-12-2020,ROJO,3
10,08-01-2021,ROJO,3
22,06-07-2022,ROJO,3
17,18-09-2020,ROJO,3
63,25-07-2021,ROJO,3
25,03-10-2020,ROJO,3
18,01-11-2019,ROJO,3
25,21-05-2020,ROJO,3
45,03-06-2021,ROJO,3
7,18-11-2019,ROJO,3
25,17-06-2020,ROJO,3
38,23-06-2020,ROJO,3
50,11-07-2022,ROJO,3
21,25-03-2022,AMARILLO,3
5,12-03-2020,ROJO,3
10,15-10-2019,ROJO,3
17,27-12-2020,AMARILLO,3
5,07-09-2021,ROJO,3
77,17-08-2021,NARANJA,3
63,14-10-2021,ROJO,3
5,01-12-2019,ROJO,3
68,04-09-2020,ROJO,3
10,23-10-2019,ROJO,3
7,23-02-2022,ROJO,3
12,20-06-2022,AMARILLO,3
10,14-07-2020,ROJO,3
10,18-10-2021,NARANJA,3
57,08-05-2020,ROJO,3
5,10-08-2021,ROJO,3
61,21-10-2019,ROJO,3
56,15-08-2021,ROJO,3
7,24-02-2022,ROJO,3
